Show,First Report,Last Report,At Bushnell,Bushnell First,,First report Season,First Bushnell season
Latin History for Morons,11/3/2019,12/15/2019,No,,,2020,
Legally Blonde 2022,10/23/2022,5/21/2023,No,,,2023,
Les Miserables 2017,7/21/2019,3/8/2020,No,,,2020,
Les Miserables 2022,10/9/2022,12/31/2023,No,,,2023,
Les Misérables 2022,6/25/2023,5/31/2026,Yes,11/3/2024,,2023,2025
Life of Pi,12/8/2024,10/26/2025,No,,,2025,
Little Women 2024,2/4/2024,5/19/2024,No,,,2024,
MJ,2/9/2025,5/24/2026,No,,,2025,
MJ The Musical,8/6/2023,2/2/2025,Yes,12/15/2024,,2024,2025
Mamma Mia! (25th Anniversary),10/29/2023,5/31/2026,No,,,2024,
Mark Twain Tonight! 2025,12/21/2025,12/21/2025,No,,,2026,
Mean Girls,9/29/2019,6/1/2025,Yes,10/2/2022,,2020,2023
Message In A Bottle,2/11/2024,5/19/2024,No,,,2024,
Million Dollar Quartet Christmas,11/28/2021,12/5/2021,No,,,2022,
Million Dollar Quartet Christmas 2022,12/11/2022,12/25/2022,No,,,2023,
Million Dollar Quartet Christmas 2023,11/26/2023,12/24/2023,No,,,2024,
Miss Saigon 2018,7/21/2019,3/8/2020,No,,,2020,
Moulin Rouge! The Musical,3/20/2022,5/31/2026,Yes,11/26/2023,,2022,2024
Mrs. Doubtfire,9/24/2023,5/31/2026,Yes,10/8/2023,,2024,2024
Mrs. Doubtfire Pre,12/1/2019,12/1/2019,No,,,2020,
My Fair Lady 2019,12/15/2019,8/14/2022,Yes,3/13/2022,,2020,2022
My Fair Lady 2022,10/23/2022,4/21/2024,No,,,2023,
Oklahoma! 2021,11/21/2021,10/23/2022,No,,,2022,
On Your Feet 2022,11/6/2022,4/14/2024,No,,,2023,
Once 2019,11/3/2019,12/15/2019,No,,,2020,
Once Upon a Mattress 2024 (Los Angeles),12/15/2024,1/5/2025,No,,,2025,
Once on This Island 2019,10/13/2019,3/8/2020,No,,,2020,
Parade 2025,1/12/2025,9/7/2025,No,,,2025,
Paradise Square Pre,11/7/2021,12/5/2021,No,,,2022,
Peter Pan 2024,12/24/2023,6/1/2025,No,,,2024,
Peter Pan Goes Wrong,8/13/2023,9/17/2023,No,,,2024,
Plaza Suite Pre,2/9/2020,2/23/2020,No,,,2020,
Pretty Woman: The Musical,10/24/2021,5/11/2025,Yes,5/1/2022,,2022,2022
Purple Rain pre,10/19/2025,11/23/2025,No,,,2026,
R.E.S.P.E.C.T.,10/23/2022,4/2/2023,No,,,2023,
Rain - A Beatles Christmas Tribute 2025,11/23/2025,11/30/2025,No,,,2026,
Rent 20th Anniversary,11/3/2019,3/1/2020,No,,,2020,
Rent 25th Anniversary,11/7/2021,4/24/2022,Yes,11/7/2021,,2022,2022
Riverdance - The New 25th Anniversary Production,1/12/2020,6/11/2023,No,,,2020,
Riverdance 30 - The New Generation,2/2/2025,5/31/2026,No,,,2025,
Rudolph The Red-Nosed Reindeer: The Musical,11/10/2024,12/22/2024,No,,,2025,
SIX: The Musical (Boleyn),2/9/2025,5/31/2026,No,,,2025,
